	Product	Price
0	product3	price1
1	product0	price3
2	product6	price0
3	product1	price4
4	product7	price3
5	product2	price6
6	product4	price5
7	product5	price2
8	product5	price5
9	product1	price3
10	product6	price2
11	product2	price4
12	product7	price0
13	product3	price6
14	product0	price0
15	product4	price1
16	product6	price5
17	product2	price3
18	product1	price0
19	product4	price6
20	product5	price1
21	product7	price2
22	product0	price2
23	product3	price4
24	product3	price3
25	product6	price1
26	product5	price6
27	product2	price0
28	product7	price5
29	product1	price2
30	product4	price4
31	product0	price5
32	product2	price2
33	product3	price0
34	product5	price4
35	product0	price1
36	product1	price5
37	product6	price6
38	product4	price3
39	product7	price1
40	product2	price5
41	product3	price2
42	product7	price6
43	product5	price3
44	product0	price6
45	product1	price1
46	product4	price0
47	product6	price4
48	product7	price4
49	product3	price5
50	product1	price6
51	product0	price4
52	product2	price1
53	product6	price3
54	product4	price2
55	product5	price0
