ColorWord,FontColor,Block
red,blue,1
yellow,yellow,1
red,blue,1
green,red,1
yellow,blue,1
red,yellow,1
red,blue,1
green,blue,1
yellow,green,1
yellow,green,1
yellow,blue,1
green,red,1
green,blue,1
green,yellow,1
blue,yellow,1
green,green,1
blue,red,1
yellow,green,1
red,green,1
red,red,1
blue,green,1
blue,green,1
yellow,green,1
red,yellow,1
green,green,1
green,yellow,1
green,green,1
blue,red,1
red,green,1
yellow,blue,1
blue,red,1
blue,yellow,1
green,red,1
red,red,1
green,blue,1
green,green,1
blue,yellow,1
red,yellow,1
yellow,red,1
red,yellow,1
red,blue,1
yellow,red,1
red,red,1
green,red,1
red,green,1
red,red,1
red,green,1
blue,blue,1
blue,yellow,1
green,red,1
red,blue,1
yellow,blue,1
yellow,yellow,1
blue,green,1
yellow,yellow,1
blue,blue,1
green,blue,1
blue,blue,1
yellow,green,1
yellow,yellow,1
blue,red,1
blue,green,1
red,red,1
yellow,red,1
green,yellow,1
green,blue,1
green,green,1
green,yellow,1
red,yellow,1
blue,green,1
blue,blue,1
yellow,red,1
blue,red,1
blue,yellow,1
yellow,red,1
red,green,1
yellow,yellow,1
yellow,blue,1
green,yellow,1
blue,blue,1
yellow,yellow,2
blue,blue,2
yellow,yellow,2
red,red,2
red,green,2
red,blue,2
yellow,red,2
yellow,yellow,2
yellow,green,2
red,red,2
blue,red,2
green,green,2
green,blue,2
blue,red,2
red,yellow,2
red,blue,2
red,blue,2
blue,green,2
yellow,green,2
green,green,2
green,blue,2
blue,blue,2
blue,yellow,2
blue,yellow,2
green,yellow,2
yellow,yellow,2
blue,blue,2
yellow,red,2
yellow,blue,2
yellow,blue,2
blue,blue,2
yellow,yellow,2
blue,red,2
yellow,blue,2
blue,green,2
blue,green,2
yellow,blue,2
red,green,2
red,yellow,2
blue,blue,2
green,yellow,2
green,blue,2
red,yellow,2
blue,yellow,2
green,yellow,2
yellow,green,2
green,yellow,2
green,yellow,2
green,green,2
blue,green,2
red,green,2
green,red,2
yellow,green,2
green,blue,2
red,yellow,2
red,green,2
green,red,2
green,blue,2
red,yellow,2
blue,yellow,2
green,green,2
blue,red,2
yellow,blue,2
red,blue,2
yellow,red,2
red,red,2
red,red,2
blue,red,2
red,red,2
yellow,green,2
red,green,2
yellow,red,2
blue,yellow,2
yellow,red,2
red,blue,2
blue,green,2
green,red,2
green,green,2
green,red,2
green,red,2
green,yellow,3
red,yellow,3
yellow,yellow,3
green,blue,3
yellow,green,3
yellow,red,3
green,yellow,3
