ColorWord,FontColor,.thisRepN,.thisTrialN,.thisN,.thisIndex,Block,
green,red,0,0,0,2,1,
red,yellow,0,1,1,12,1,
blue,green,0,2,2,9,1,
green,yellow,0,3,3,14,1,
red,blue,0,4,4,4,1,
red,blue,0,5,5,4,1,
red,green,0,6,6,8,1,
yellow,blue,0,7,7,7,1,
yellow,red,0,8,8,3,1,
yellow,yellow,0,9,9,15,1,
green,blue,0,10,10,6,1,
blue,blue,0,11,11,5,1,
green,red,0,12,12,2,1,
red,green,0,13,13,8,1,
red,yellow,0,14,14,12,1,
red,yellow,0,15,15,12,1,
green,blue,1,0,16,6,1,
yellow,green,1,1,17,11,1,
green,red,1,2,18,2,1,
green,green,1,3,19,10,1,
blue,red,1,4,20,1,1,
yellow,yellow,1,5,21,15,1,
yellow,green,1,6,22,11,1,
green,green,1,7,23,10,1,
red,green,1,8,24,8,1,
red,blue,1,9,25,4,1,
red,blue,1,10,26,4,1,
yellow,blue,1,11,27,7,1,
green,yellow,1,12,28,14,1,
green,red,1,13,29,2,1,
yellow,red,1,14,30,3,1,
yellow,blue,1,15,31,7,1,
yellow,red,2,0,32,3,1,
green,yellow,2,1,33,14,1,
blue,red,2,2,34,1,1,
red,red,2,3,35,0,1,
red,yellow,2,4,36,12,1,
blue,red,2,5,37,1,1,
blue,green,2,6,38,9,1,
red,red,2,7,39,0,1,
red,blue,2,8,40,4,1,
blue,blue,2,9,41,5,1,
red,red,2,10,42,0,1,
yellow,blue,2,11,43,7,1,
green,green,2,12,44,10,1,
blue,yellow,2,13,45,13,1,
green,green,2,14,46,10,1,
blue,green,2,15,47,9,1,
yellow,yellow,3,0,48,15,1,
yellow,green,3,1,49,11,1,
red,red,3,2,50,0,1,
yellow,green,3,3,51,11,1,
blue,green,3,4,52,9,1,
blue,red,3,5,53,1,1,
green,green,3,6,54,10,1,
green,blue,3,7,55,6,1,
yellow,red,3,8,56,3,1,
red,red,3,9,57,0,1,
blue,blue,3,10,58,5,1,
yellow,yellow,3,11,59,15,1,
red,green,3,12,60,8,1,
green,red,3,13,61,2,1,
green,yellow,3,14,62,14,1,
blue,yellow,3,15,63,13,1,
yellow,blue,4,0,64,7,1,
yellow,red,4,1,65,3,1,
blue,red,4,2,66,1,1,
blue,blue,4,3,67,5,1,
green,yellow,4,4,68,14,1,
yellow,yellow,4,5,69,15,1,
red,green,4,6,70,8,1,
blue,yellow,4,7,71,13,1,
blue,blue,4,8,72,5,1,
green,blue,4,9,73,6,1,
blue,yellow,4,10,74,13,1,
blue,yellow,4,11,75,13,1,
yellow,green,4,12,76,11,1,
green,blue,4,13,77,6,1,
red,yellow,4,14,78,12,1,
blue,green,4,15,79,9,1,
red,blue,0,0,0,4,2,
green,yellow,0,1,1,14,2,
blue,yellow,0,2,2,13,2,
yellow,green,0,3,3,11,2,
yellow,yellow,0,4,4,15,2,
green,red,0,5,5,2,2,
green,green,0,6,6,10,2,
red,green,0,7,7,8,2,
yellow,red,0,8,8,3,2,
yellow,blue,0,9,9,7,2,
red,red,0,10,10,0,2,
blue,green,0,11,11,9,2,
green,red,0,12,12,2,2,
green,red,0,13,13,2,2,
yellow,yellow,0,14,14,15,2,
blue,blue,0,15,15,5,2,
yellow,blue,1,0,16,7,2,
green,yellow,1,1,17,14,2,
yellow,red,1,2,18,3,2,
red,yellow,1,3,19,12,2,
red,green,1,4,20,8,2,
red,yellow,1,5,21,12,2,
red,blue,1,6,22,4,2,
blue,yellow,1,7,23,13,2,
blue,red,1,8,24,1,2,
green,blue,1,9,25,6,2,
red,green,1,10,26,8,2,
red,red,1,11,27,0,2,
green,red,1,12,28,2,2,
red,red,1,13,29,0,2,
blue,red,1,14,30,1,2,
green,blue,1,15,31,6,2,
yellow,green,2,0,32,11,2,
yellow,red,2,1,33,3,2,
blue,yellow,2,2,34,13,2,
blue,red,2,3,35,1,2,
yellow,blue,2,4,36,7,2,
red,blue,2,5,37,4,2,
green,green,2,6,38,10,2,
blue,green,2,7,39,9,2,
yellow,yellow,2,8,40,15,2,
green,blue,2,9,41,6,2,
yellow,green,2,10,42,11,2,
yellow,red,2,11,43,3,2,
green,green,2,12,44,10,2,
red,yellow,2,13,45,12,2,
blue,red,2,14,46,1,2,
yellow,yellow,2,15,47,15,2,
blue,blue,3,0,48,5,2,
blue,red,3,1,49,1,2,
green,yellow,3,2,50,14,2,
blue,blue,3,3,51,5,2,
red,red,3,4,52,0,2,
blue,green,3,5,53,9,2,
red,blue,3,6,54,4,2,
red,yellow,3,7,55,12,2,
red,yellow,3,8,56,12,2,
blue,yellow,3,9,57,13,2,
blue,green,3,10,58,9,2,
yellow,green,3,11,59,11,2,
yellow,red,3,12,60,3,2,
red,blue,3,13,61,4,2,
blue,blue,3,14,62,5,2,
green,red,3,15,63,2,2,
green,blue,4,0,64,6,2,
green,green,4,1,65,10,2,
yellow,blue,4,2,66,7,2,
