ColorWord,FontColor,Block,Instruction,CorAns
green,blue,1,typical,f
green,green,1,typical,j
yellow,yellow,1,typical,k
blue,green,1,typical,j
green,yellow,1,typical,k
red,red,1,typical,d
green,blue,1,typical,f
green,green,1,typical,j
green,red,1,typical,d
green,red,1,typical,d
yellow,green,1,typical,j
blue,yellow,1,typical,k
green,blue,1,typical,f
yellow,blue,1,typical,f
green,green,1,typical,j
green,green,1,typical,j
red,blue,1,typical,f
yellow,yellow,1,typical,k
red,red,1,typical,d
red,yellow,1,typical,k
blue,red,1,typical,d
blue,yellow,1,typical,k
red,red,1,typical,d
red,blue,1,typical,f
red,green,1,typical,j
blue,green,1,typical,j
red,green,1,typical,j
yellow,green,1,typical,j
red,green,1,typical,j
red,yellow,1,typical,k
blue,blue,1,typical,f
yellow,blue,1,typical,f
yellow,red,1,typical,d
blue,blue,1,typical,f
red,yellow,1,typical,k
yellow,red,1,typical,d
green,green,1,typical,j
yellow,green,1,typical,j
green,yellow,1,typical,k
yellow,red,1,typical,d
yellow,green,1,typical,j
blue,yellow,1,typical,k
blue,green,1,typical,j
blue,blue,1,typical,f
red,blue,1,typical,f
green,yellow,1,typical,k
green,red,1,typical,d
blue,blue,1,typical,f
red,red,1,typical,d
yellow,blue,1,typical,f
blue,red,1,typical,d
yellow,yellow,1,typical,k
green,blue,1,typical,f
blue,red,1,typical,d
yellow,blue,1,typical,f
blue,red,1,typical,d
yellow,red,1,typical,d
green,blue,1,typical,f
yellow,red,1,typical,d
blue,yellow,1,typical,k
red,blue,1,typical,f
red,green,1,typical,j
red,yellow,1,typical,k
blue,green,1,typical,j
blue,yellow,1,typical,k
yellow,blue,1,typical,f
red,green,1,typical,j
blue,green,1,typical,j
red,red,1,typical,d
green,red,1,typical,d
blue,red,1,typical,d
green,red,1,typical,d
yellow,yellow,1,typical,k
red,blue,1,typical,f
green,yellow,1,typical,k
red,yellow,1,typical,k
yellow,green,1,typical,j
blue,blue,1,typical,f
yellow,yellow,1,typical,k
green,yellow,1,typical,k
green,blue,2,atypical,j
blue,blue,2,atypical,f
green,blue,2,atypical,j
red,blue,2,atypical,d
yellow,yellow,2,atypical,k
yellow,blue,2,atypical,k
blue,yellow,2,atypical,f
blue,red,2,atypical,f
green,green,2,atypical,j
red,blue,2,atypical,d
blue,blue,2,atypical,f
blue,red,2,atypical,f
yellow,green,2,atypical,k
blue,blue,2,atypical,f
yellow,green,2,atypical,k
blue,blue,2,atypical,f
blue,yellow,2,atypical,f
red,yellow,2,atypical,d
green,red,2,atypical,j
green,red,2,atypical,j
red,blue,2,atypical,d
yellow,blue,2,atypical,k
yellow,red,2,atypical,k
green,red,2,atypical,j
red,yellow,2,atypical,d
red,green,2,atypical,d
green,green,2,atypical,j
yellow,yellow,2,atypical,k
blue,green,2,atypical,f
yellow,yellow,2,atypical,k
blue,yellow,2,atypical,f
red,red,2,atypical,d
yellow,blue,2,atypical,k
green,green,2,atypical,j
green,blue,2,atypical,j
blue,green,2,atypical,f
green,green,2,atypical,j
green,blue,2,atypical,j
yellow,yellow,2,atypical,k
green,yellow,2,atypical,j
blue,green,2,atypical,f
yellow,red,2,atypical,k
green,blue,2,atypical,j
yellow,red,2,atypical,k
red,green,2,atypical,d
blue,red,2,atypical,f
red,blue,2,atypical,d
yellow,green,2,atypical,k
green,red,2,atypical,j
red,green,2,atypical,d
red,red,2,atypical,d
red,green,2,atypical,d
blue,red,2,atypical,f
yellow,green,2,atypical,k
green,green,2,atypical,j
blue,blue,2,atypical,f
green,red,2,atypical,j
red,yellow,2,atypical,d
blue,yellow,2,atypical,f
yellow,blue,2,atypical,k
blue,red,2,atypical,f
green,yellow,2,atypical,j
yellow,red,2,atypical,k
yellow,green,2,atypical,k
blue,yellow,2,atypical,f
red,red,2,atypical,d
blue,green,2,atypical,f
yellow,red,2,atypical,k
yellow,yellow,2,atypical,k
red,yellow,2,atypical,d
red,green,2,atypical,d
green,yellow,2,atypical,j
red,yellow,2,atypical,d
red,red,2,atypical,d
blue,green,2,atypical,f
red,red,2,atypical,d
green,yellow,2,atypical,j
red,blue,2,atypical,d
yellow,blue,2,atypical,k
green,yellow,2,atypical,j
green,yellow,3,typical,k
yellow,red,3,typical,d
green,yellow,3,typical,k
blue,blue,3,typical,f
red,yellow,3,typical,k
blue,red,3,typical,d
red,blue,3,typical,f
yellow,blue,3,typical,f
red,yellow,3,typical,k
blue,yellow,3,typical,k
red,red,3,typical,d
green,blue,3,typical,f
yellow,red,3,typical,d
red,green,3,typical,j
green,green,3,typical,j
red,red,3,typical,d
blue,yellow,3,typical,k
yellow,green,3,typical,j
yellow,yellow,3,typical,k
blue,red,3,typical,d
red,red,3,typical,d
yellow,yellow,3,typical,k
yellow,blue,3,typical,f
red,green,3,typical,j
red,green,3,typical,j
red,red,3,typical,d
green,yellow,3,typical,k
blue,yellow,3,typical,k
yellow,red,3,typical,d
green,green,3,typical,j
red,blue,3,typical,f
yellow,red,3,typical,d
green,yellow,3,typical,k
blue,green,3,typical,j
blue,yellow,3,typical,k
red,red,3,typical,d
red,blue,3,typical,f
blue,blue,3,typical,f
green,blue,3,typical,f
blue,green,3,typical,j
yellow,yellow,3,typical,k
red,yellow,3,typical,k
yellow,blue,3,typical,f
yellow,yellow,3,typical,k
blue,green,3,typical,j
blue,blue,3,typical,f
blue,red,3,typical,d
red,green,3,typical,j
red,blue,3,typical,f
blue,red,3,typical,d
green,green,3,typical,j
blue,green,3,typical,j
yellow,blue,3,typical,f
red,yellow,3,typical,k
red,yellow,3,typical,k
green,red,3,typical,d
yellow,red,3,typical,d
green,red,3,typical,d
red,blue,3,typical,f
green,red,3,typical,d
yellow,green,3,typical,j
yellow,blue,3,typical,f
green,green,3,typical,j
green,yellow,3,typical,k
green,red,3,typical,d
green,blue,3,typical,f
yellow,green,3,typical,j
blue,red,3,typical,d
blue,blue,3,typical,f
yellow,green,3,typical,j
green,green,3,typical,j
red,green,3,typical,j
green,blue,3,typical,f
yellow,yellow,3,typical,k
blue,yellow,3,typical,k
blue,green,3,typical,j
green,red,3,typical,d
yellow,green,3,typical,j
green,blue,3,typical,f
blue,blue,3,typical,f
blue,red,4,atypical,f
green,red,4,atypical,j
red,yellow,4,atypical,d
yellow,green,4,atypical,k
green,yellow,4,atypical,j
green,blue,4,atypical,j
green,green,4,atypical,j
green,red,4,atypical,j
red,blue,4,atypical,d
green,blue,4,atypical,j
green,yellow,4,atypical,j
red,red,4,atypical,d
yellow,yellow,4,atypical,k
green,yellow,4,atypical,j
blue,blue,4,atypical,f
yellow,red,4,atypical,k
red,yellow,4,atypical,d
blue,yellow,4,atypical,f
blue,yellow,4,atypical,f
red,green,4,atypical,d
green,red,4,atypical,j
red,yellow,4,atypical,d
blue,yellow,4,atypical,f
yellow,red,4,atypical,k
yellow,green,4,atypical,k
red,red,4,atypical,d
red,yellow,4,atypical,d
blue,green,4,atypical,f
green,green,4,atypical,j
red,green,4,atypical,d
yellow,yellow,4,atypical,k
blue,red,4,atypical,f
yellow,blue,4,atypical,k
yellow,yellow,4,atypical,k
green,red,4,atypical,j
yellow,green,4,atypical,k
blue,blue,4,atypical,f
blue,green,4,atypical,f
blue,green,4,atypical,f
blue,blue,4,atypical,f
blue,yellow,4,atypical,f
yellow,red,4,atypical,k
green,green,4,atypical,j
yellow,blue,4,atypical,k
yellow,yellow,4,atypical,k
red,yellow,4,atypical,d
yellow,blue,4,atypical,k
red,red,4,atypical,d
blue,blue,4,atypical,f
yellow,red,4,atypical,k
red,blue,4,atypical,d
red,green,4,atypical,d
blue,blue,4,atypical,f
green,green,4,atypical,j
green,blue,4,atypical,j
green,yellow,4,atypical,j
yellow,blue,4,atypical,k
green,green,4,atypical,j
green,blue,4,atypical,j
blue,red,4,atypical,f
red,blue,4,atypical,d
red,green,4,atypical,d
green,red,4,atypical,j
blue,red,4,atypical,f
yellow,yellow,4,atypical,k
red,blue,4,atypical,d
yellow,green,4,atypical,k
blue,green,4,atypical,f
red,red,4,atypical,d
blue,green,4,atypical,f
red,green,4,atypical,d
blue,yellow,4,atypical,f
yellow,green,4,atypical,k
green,blue,4,atypical,j
red,red,4,atypical,d
green,yellow,4,atypical,j
blue,red,4,atypical,f
yellow,blue,4,atypical,k
yellow,red,4,atypical,k
red,blue,4,atypical,d
red,yellow,5,typical,k
yellow,blue,5,typical,f
green,red,5,typical,d
green,red,5,typical,d
red,blue,5,typical,f
red,yellow,5,typical,k
yellow,blue,5,typical,f
yellow,yellow,5,typical,k
green,red,5,typical,d
red,yellow,5,typical,k
yellow,blue,5,typical,f
green,green,5,typical,j
