ColorWord,FontColor,.thisRepN,.thisTrialN,.thisN,.thisIndex,Block,Instruction,CorAns,
blue,green,0,0,0,9,1,typical,j,
red,yellow,0,1,1,12,1,typical,k,
green,red,0,2,2,2,1,typical,d,
green,green,0,3,3,10,1,typical,j,
red,green,0,4,4,8,1,typical,j,
blue,blue,0,5,5,5,1,typical,f,
yellow,blue,0,6,6,7,1,typical,f,
blue,yellow,0,7,7,13,1,typical,k,
red,red,0,8,8,0,1,typical,d,
yellow,yellow,0,9,9,15,1,typical,k,
yellow,blue,0,10,10,7,1,typical,f,
red,red,0,11,11,0,1,typical,d,
yellow,yellow,0,12,12,15,1,typical,k,
blue,yellow,0,13,13,13,1,typical,k,
blue,green,0,14,14,9,1,typical,j,
green,blue,0,15,15,6,1,typical,f,
red,red,1,0,16,0,1,typical,d,
green,yellow,1,1,17,14,1,typical,k,
blue,blue,1,2,18,5,1,typical,f,
green,yellow,1,3,19,14,1,typical,k,
yellow,red,1,4,20,3,1,typical,d,
green,red,1,5,21,2,1,typical,d,
green,green,1,6,22,10,1,typical,j,
blue,green,1,7,23,9,1,typical,j,
blue,yellow,1,8,24,13,1,typical,k,
yellow,red,1,9,25,3,1,typical,d,
yellow,green,1,10,26,11,1,typical,j,
yellow,green,1,11,27,11,1,typical,j,
yellow,green,1,12,28,11,1,typical,j,
red,green,1,13,29,8,1,typical,j,
blue,red,1,14,30,1,1,typical,d,
yellow,blue,1,15,31,7,1,typical,f,
blue,green,2,0,32,9,1,typical,j,
yellow,yellow,2,1,33,15,1,typical,k,
green,yellow,2,2,34,14,1,typical,k,
green,green,2,3,35,10,1,typical,j,
red,yellow,2,4,36,12,1,typical,k,
yellow,red,2,5,37,3,1,typical,d,
red,blue,2,6,38,4,1,typical,f,
green,green,2,7,39,10,1,typical,j,
yellow,green,2,8,40,11,1,typical,j,
green,blue,2,9,41,6,1,typical,f,
green,yellow,2,10,42,14,1,typical,k,
yellow,red,2,11,43,3,1,typical,d,
red,blue,2,12,44,4,1,typical,f,
blue,blue,2,13,45,5,1,typical,f,
blue,red,2,14,46,1,1,typical,d,
red,yellow,2,15,47,12,1,typical,k,
green,green,3,0,48,10,1,typical,j,
yellow,blue,3,1,49,7,1,typical,f,
red,red,3,2,50,0,1,typical,d,
yellow,red,3,3,51,3,1,typical,d,
yellow,yellow,3,4,52,15,1,typical,k,
blue,yellow,3,5,53,13,1,typical,k,
red,green,3,6,54,8,1,typical,j,
blue,red,3,7,55,1,1,typical,d,
green,blue,3,8,56,6,1,typical,f,
blue,blue,3,9,57,5,1,typical,f,
red,green,3,10,58,8,1,typical,j,
blue,yellow,3,11,59,13,1,typical,k,
blue,blue,3,12,60,5,1,typical,f,
red,blue,3,13,61,4,1,typical,f,
red,blue,3,14,62,4,1,typical,f,
green,red,3,15,63,2,1,typical,d,
red,yellow,4,0,64,12,1,typical,k,
green,blue,4,1,65,6,1,typical,f,
blue,red,4,2,66,1,1,typical,d,
green,yellow,4,3,67,14,1,typical,k,
green,red,4,4,68,2,1,typical,d,
green,red,4,5,69,2,1,typical,d,
yellow,blue,4,6,70,7,1,typical,f,
red,blue,4,7,71,4,1,typical,f,
red,yellow,4,8,72,12,1,typical,k,
red,red,4,9,73,0,1,typical,d,
red,green,4,10,74,8,1,typical,j,
blue,green,4,11,75,9,1,typical,j,
yellow,green,4,12,76,11,1,typical,j,
blue,red,4,13,77,1,1,typical,d,
yellow,yellow,4,14,78,15,1,typical,k,
green,blue,4,15,79,6,1,typical,f,
blue,blue,0,0,0,5,2,atypical,f,
red,blue,0,1,1,4,2,atypical,d,
blue,yellow,0,2,2,13,2,atypical,f,
blue,red,0,3,3,1,2,atypical,f,
green,blue,0,4,4,6,2,atypical,j,
blue,yellow,0,5,5,13,2,atypical,f,
blue,yellow,0,6,6,13,2,atypical,f,
red,green,0,7,7,8,2,atypical,d,
blue,blue,0,8,8,5,2,atypical,f,
yellow,blue,0,9,9,7,2,atypical,k,
yellow,yellow,0,10,10,15,2,atypical,k,
blue,yellow,0,11,11,13,2,atypical,f,
red,green,0,12,12,8,2,atypical,d,
green,green,0,13,13,10,2,atypical,j,
green,yellow,0,14,14,14,2,atypical,j,
green,red,0,15,15,2,2,atypical,j,
yellow,yellow,1,0,16,15,2,atypical,k,
green,red,1,1,17,2,2,atypical,j,
green,green,1,2,18,10,2,atypical,j,
red,red,1,3,19,0,2,atypical,d,
red,blue,1,4,20,4,2,atypical,d,
yellow,green,1,5,21,11,2,atypical,k,
yellow,red,1,6,22,3,2,atypical,k,
red,yellow,1,7,23,12,2,atypical,d,
red,red,1,8,24,0,2,atypical,d,
yellow,blue,1,9,25,7,2,atypical,k,
blue,green,1,10,26,9,2,atypical,f,
red,red,1,11,27,0,2,atypical,d,
green,green,1,12,28,10,2,atypical,j,
green,yellow,1,13,29,14,2,atypical,j,
red,green,1,14,30,8,2,atypical,d,
blue,green,1,15,31,9,2,atypical,f,
yellow,blue,2,0,32,7,2,atypical,k,
yellow,red,2,1,33,3,2,atypical,k,
green,blue,2,2,34,6,2,atypical,j,
red,green,2,3,35,8,2,atypical,d,
yellow,yellow,2,4,36,15,2,atypical,k,
green,blue,2,5,37,6,2,atypical,j,
green,green,2,6,38,10,2,atypical,j,
red,yellow,2,7,39,12,2,atypical,d,
blue,red,2,8,40,1,2,atypical,f,
red,yellow,2,9,41,12,2,atypical,d,
red,green,2,10,42,8,2,atypical,d,
blue,blue,2,11,43,5,2,atypical,f,
red,blue,2,12,44,4,2,atypical,d,
yellow,red,2,13,45,3,2,atypical,k,
green,green,2,14,46,10,2,atypical,j,
red,yellow,2,15,47,12,2,atypical,d,
red,blue,3,0,48,4,2,atypical,d,
blue,red,3,1,49,1,2,atypical,f,
yellow,blue,3,2,50,7,2,atypical,k,
yellow,green,3,3,51,11,2,atypical,k,
green,red,3,4,52,2,2,atypical,j,
blue,blue,3,5,53,5,2,atypical,f,
blue,red,3,6,54,1,2,atypical,f,
green,blue,3,7,55,6,2,atypical,j,
green,yellow,3,8,56,14,2,atypical,j,
yellow,green,3,9,57,11,2,atypical,k,
red,red,3,10,58,0,2,atypical,d,
blue,blue,3,11,59,5,2,atypical,f,
yellow,red,3,12,60,3,2,atypical,k,
green,yellow,3,13,61,14,2,atypical,j,
yellow,yellow,3,14,62,15,2,atypical,k,
yellow,green,3,15,63,11,2,atypical,k,
yellow,green,4,0,64,11,2,atypical,k,
blue,red,4,1,65,1,2,atypical,f,
yellow,yellow,4,2,66,15,2,atypical,k,
blue,yellow,4,3,67,13,2,atypical,f,
yellow,red,4,4,68,3,2,atypical,k,
blue,green,4,5,69,9,2,atypical,f,
green,red,4,6,70,2,2,atypical,j,
green,red,4,7,71,2,2,atypical,j,
red,yellow,4,8,72,12,2,atypical,d,
