ColorWord,FontColor,Block,Instruction,CorAns,StimType
red,blue,1,typical,f,4
red,yellow,1,typical,k,12
yellow,red,1,typical,d,3
green,red,1,typical,d,2
yellow,green,1,typical,j,11
red,red,1,typical,d,0
red,blue,1,typical,f,4
yellow,blue,1,typical,f,7
green,yellow,1,typical,k,14
blue,green,1,typical,j,9
yellow,yellow,1,typical,k,15
blue,blue,1,typical,f,5
yellow,blue,1,typical,f,7
blue,green,1,typical,j,9
green,green,1,typical,j,10
green,red,1,typical,d,2
yellow,yellow,1,typical,k,15
red,yellow,1,typical,k,12
red,red,1,typical,d,0
green,blue,1,typical,f,6
green,green,1,typical,j,10
green,yellow,1,typical,k,14
blue,green,1,typical,j,9
blue,yellow,1,typical,k,13
blue,red,1,typical,d,1
green,blue,1,typical,f,6
red,yellow,1,typical,k,12
yellow,red,1,typical,d,3
blue,green,1,typical,j,9
yellow,red,1,typical,d,3
red,yellow,1,typical,k,12
green,blue,1,typical,f,6
blue,red,1,typical,d,1
blue,blue,1,typical,f,5
blue,red,1,typical,d,1
blue,yellow,1,typical,k,13
blue,blue,1,typical,f,5
green,yellow,1,typical,k,14
red,green,1,typical,j,8
yellow,blue,1,typical,f,7
yellow,red,1,typical,d,3
red,red,1,typical,d,0
red,blue,1,typical,f,4
green,red,1,typical,d,2
green,green,1,typical,j,10
red,yellow,1,typical,k,12
red,red,1,typical,d,0
yellow,green,1,typical,j,11
blue,yellow,1,typical,k,13
green,green,1,typical,j,10
green,yellow,1,typical,k,14
blue,blue,1,typical,f,5
yellow,yellow,1,typical,k,15
blue,yellow,1,typical,k,13
blue,red,1,typical,d,1
green,red,1,typical,d,2
green,green,1,typical,j,10
blue,red,1,typical,d,1
yellow,yellow,1,typical,k,15
yellow,green,1,typical,j,11
green,red,1,typical,d,2
blue,yellow,1,typical,k,13
red,blue,1,typical,f,4
red,green,1,typical,j,8
green,blue,1,typical,f,6
yellow,green,1,typical,j,11
green,blue,1,typical,f,6
yellow,blue,1,typical,f,7
red,blue,1,typical,f,4
red,red,1,typical,d,0
red,green,1,typical,j,8
yellow,green,1,typical,j,11
blue,blue,1,typical,f,5
yellow,yellow,1,typical,k,15
red,green,1,typical,j,8
yellow,blue,1,typical,f,7
blue,green,1,typical,j,9
green,yellow,1,typical,k,14
red,green,1,typical,j,8
yellow,red,1,typical,d,3
yellow,red,2,atypical,k,3
blue,red,2,atypical,f,1
red,green,2,atypical,d,8
yellow,red,2,atypical,k,3
blue,yellow,2,atypical,f,13
green,yellow,2,atypical,j,14
green,red,2,atypical,j,2
blue,red,2,atypical,f,1
green,blue,2,atypical,j,6
red,blue,2,atypical,d,4
red,red,2,atypical,d,0
green,yellow,2,atypical,j,14
yellow,red,2,atypical,k,3
blue,green,2,atypical,f,9
blue,blue,2,atypical,f,5
green,red,2,atypical,j,2
blue,green,2,atypical,f,9
green,green,2,atypical,j,10
blue,blue,2,atypical,f,5
green,green,2,atypical,j,10
blue,red,2,atypical,f,1
red,yellow,2,atypical,d,12
yellow,green,2,atypical,k,11
blue,yellow,2,atypical,f,13
red,blue,2,atypical,d,4
green,yellow,2,atypical,j,14
green,blue,2,atypical,j,6
red,red,2,atypical,d,0
red,blue,2,atypical,d,4
yellow,green,2,atypical,k,11
red,yellow,2,atypical,d,12
yellow,yellow,2,atypical,k,15
red,green,2,atypical,d,8
red,red,2,atypical,d,0
red,yellow,2,atypical,d,12
yellow,yellow,2,atypical,k,15
green,yellow,2,atypical,j,14
yellow,red,2,atypical,k,3
blue,blue,2,atypical,f,5
yellow,blue,2,atypical,k,7
yellow,yellow,2,atypical,k,15
yellow,blue,2,atypical,k,7
yellow,yellow,2,atypical,k,15
red,green,2,atypical,d,8
red,red,2,atypical,d,0
red,yellow,2,atypical,d,12
red,green,2,atypical,d,8
green,green,2,atypical,j,10
yellow,blue,2,atypical,k,7
