ColorWord,FontColor,StimType,.thisRepN,.thisTrialN,.thisN,.thisIndex,Block,Instruction,CorAns,
green,yellow,14,0,0,0,0,1,typical,k,
red,red,0,0,1,1,1,1,typical,d,
red,yellow,12,0,2,2,2,1,typical,k,
blue,green,9,0,3,3,3,1,typical,j,
green,green,10,0,4,4,4,1,typical,j,
blue,red,1,0,5,5,5,1,typical,d,
yellow,red,3,0,6,6,6,1,typical,d,
green,blue,6,0,7,7,7,1,typical,f,
red,yellow,12,0,8,8,8,1,typical,k,
yellow,green,11,0,9,9,9,1,typical,j,
blue,yellow,13,0,10,10,10,1,typical,k,
blue,blue,5,0,11,11,11,1,typical,f,
yellow,blue,7,0,12,12,12,1,typical,f,
blue,red,1,0,13,13,13,1,typical,d,
green,red,2,0,14,14,14,1,typical,d,
green,yellow,14,0,15,15,15,1,typical,k,
blue,red,1,0,16,16,16,1,typical,d,
yellow,yellow,15,0,17,17,17,1,typical,k,
red,red,0,0,18,18,18,1,typical,d,
yellow,green,11,0,19,19,19,1,typical,j,
yellow,yellow,15,0,20,20,20,1,typical,k,
red,blue,4,0,21,21,21,1,typical,f,
green,green,10,0,22,22,22,1,typical,j,
red,green,8,0,23,23,23,1,typical,j,
red,blue,4,0,24,24,24,1,typical,f,
blue,blue,5,0,25,25,25,1,typical,f,
red,red,0,0,26,26,26,1,typical,d,
green,red,2,0,27,27,27,1,typical,d,
green,green,10,0,28,28,28,1,typical,j,
blue,yellow,13,0,29,29,29,1,typical,k,
red,yellow,12,0,30,30,30,1,typical,k,
yellow,blue,7,0,31,31,31,1,typical,f,
yellow,green,11,0,32,32,32,1,typical,j,
blue,green,9,0,33,33,33,1,typical,j,
blue,yellow,13,0,34,34,34,1,typical,k,
green,red,2,0,35,35,35,1,typical,d,
green,blue,6,0,36,36,36,1,typical,f,
blue,blue,5,0,37,37,37,1,typical,f,
blue,green,9,0,38,38,38,1,typical,j,
red,blue,4,0,39,39,39,1,typical,f,
yellow,red,3,0,40,40,40,1,typical,d,
green,red,2,0,41,41,41,1,typical,d,
red,green,8,0,42,42,42,1,typical,j,
yellow,green,11,0,43,43,43,1,typical,j,
green,blue,6,0,44,44,44,1,typical,f,
blue,blue,5,0,45,45,45,1,typical,f,
blue,red,1,0,46,46,46,1,typical,d,
green,yellow,14,0,47,47,47,1,typical,k,
yellow,blue,7,0,48,48,48,1,typical,f,
blue,blue,5,0,49,49,49,1,typical,f,
blue,yellow,13,0,50,50,50,1,typical,k,
yellow,yellow,15,0,51,51,51,1,typical,k,
blue,green,9,0,52,52,52,1,typical,j,
yellow,green,11,0,53,53,53,1,typical,j,
yellow,red,3,0,54,54,54,1,typical,d,
yellow,blue,7,0,55,55,55,1,typical,f,
red,blue,4,0,56,56,56,1,typical,f,
red,red,0,0,57,57,57,1,typical,d,
green,blue,6,0,58,58,58,1,typical,f,
green,green,10,0,59,59,59,1,typical,j,
yellow,red,3,0,60,60,60,1,typical,d,
yellow,yellow,15,0,61,61,61,1,typical,k,
blue,red,1,0,62,62,62,1,typical,d,
green,yellow,14,0,63,63,63,1,typical,k,
red,yellow,12,0,64,64,64,1,typical,k,
blue,green,9,0,65,65,65,1,typical,j,
yellow,yellow,15,0,66,66,66,1,typical,k,
red,green,8,0,67,67,67,1,typical,j,
green,yellow,14,0,68,68,68,1,typical,k,
red,yellow,12,0,69,69,69,1,typical,k,
yellow,red,3,0,70,70,70,1,typical,d,
green,red,2,0,71,71,71,1,typical,d,
red,red,0,0,72,72,72,1,typical,d,
red,blue,4,0,73,73,73,1,typical,f,
green,blue,6,0,74,74,74,1,typical,f,
yellow,blue,7,0,75,75,75,1,typical,f,
red,green,8,0,76,76,76,1,typical,j,
green,green,10,0,77,77,77,1,typical,j,
blue,yellow,13,0,78,78,78,1,typical,k,
red,green,8,0,79,79,79,1,typical,j,
blue,green,9,0,0,0,0,2,atypical,f,
green,yellow,14,0,1,1,1,2,atypical,j,
blue,red,1,0,2,2,2,2,atypical,f,
green,green,10,0,3,3,3,2,atypical,j,
yellow,yellow,15,0,4,4,4,2,atypical,k,
blue,red,1,0,5,5,5,2,atypical,f,
yellow,green,11,0,6,6,6,2,atypical,k,
yellow,blue,7,0,7,7,7,2,atypical,k,
red,yellow,12,0,8,8,8,2,atypical,d,
yellow,yellow,15,0,9,9,9,2,atypical,k,
red,green,8,0,10,10,10,2,atypical,d,
green,blue,6,0,11,11,11,2,atypical,j,
blue,blue,5,0,12,12,12,2,atypical,f,
yellow,yellow,15,0,13,13,13,2,atypical,k,
green,yellow,14,0,14,14,14,2,atypical,j,
yellow,yellow,15,0,15,15,15,2,atypical,k,
blue,yellow,13,0,16,16,16,2,atypical,f,
red,green,8,0,17,17,17,2,atypical,d,
green,green,10,0,18,18,18,2,atypical,j,
yellow,blue,7,0,19,19,19,2,atypical,k,
red,red,0,0,20,20,20,2,atypical,d,
yellow,red,3,0,21,21,21,2,atypical,k,
red,red,0,0,22,22,22,2,atypical,d,
blue,red,1,0,23,23,23,2,atypical,f,
red,red,0,0,24,24,24,2,atypical,d,
blue,yellow,13,0,25,25,25,2,atypical,f,
green,blue,6,0,26,26,26,2,atypical,j,
yellow,green,11,0,27,27,27,2,atypical,k,
blue,green,9,0,28,28,28,2,atypical,f,
blue,yellow,13,0,29,29,29,2,atypical,f,
green,red,2,0,30,30,30,2,atypical,j,
blue,blue,5,0,31,31,31,2,atypical,f,
yellow,red,3,0,32,32,32,2,atypical,k,
red,blue,4,0,33,33,33,2,atypical,d,
yellow,red,3,0,34,34,34,2,atypical,k,
red,red,0,0,35,35,35,2,atypical,d,
blue,blue,5,0,36,36,36,2,atypical,f,
green,blue,6,0,37,37,37,2,atypical,j,
green,red,2,0,38,38,38,2,atypical,j,
yellow,red,3,0,39,39,39,2,atypical,k,
red,yellow,12,0,40,40,40,2,atypical,d,
yellow,yellow,15,0,41,41,41,2,atypical,k,
red,blue,4,0,42,42,42,2,atypical,d,
blue,green,9,0,43,43,43,2,atypical,f,
yellow,blue,7,0,44,44,44,2,atypical,k,
green,blue,6,0,45,45,45,2,atypical,j,
red,green,8,0,46,46,46,2,atypical,d,
blue,blue,5,0,47,47,47,2,atypical,f,
blue,green,9,0,48,48,48,2,atypical,f,
yellow,red,3,0,49,49,49,2,atypical,k,
green,blue,6,0,50,50,50,2,atypical,j,
red,blue,4,0,51,51,51,2,atypical,d,
green,yellow,14,0,52,52,52,2,atypical,j,
red,yellow,12,0,53,53,53,2,atypical,d,
yellow,blue,7,0,54,54,54,2,atypical,k,
blue,red,1,0,55,55,55,2,atypical,f,
green,red,2,0,56,56,56,2,atypical,j,
red,green,8,0,57,57,57,2,atypical,d,
yellow,green,11,0,58,58,58,2,atypical,k,
red,yellow,12,0,59,59,59,2,atypical,d,
yellow,blue,7,0,60,60,60,2,atypical,k,
yellow,green,11,0,61,61,61,2,atypical,k,
red,red,0,0,62,62,62,2,atypical,d,
green,green,10,0,63,63,63,2,atypical,j,
red,blue,4,0,64,64,64,2,atypical,d,
green,yellow,14,0,65,65,65,2,atypical,j,
green,green,10,0,66,66,66,2,atypical,j,
red,yellow,12,0,67,67,67,2,atypical,d,
blue,blue,5,0,68,68,68,2,atypical,f,
red,blue,4,0,69,69,69,2,atypical,d,
green,red,2,0,70,70,70,2,atypical,j,
green,yellow,14,0,71,71,71,2,atypical,j,
yellow,green,11,0,72,72,72,2,atypical,k,
green,green,10,0,73,73,73,2,atypical,j,
blue,green,9,0,74,74,74,2,atypical,f,
green,red,2,0,75,75,75,2,atypical,j,
red,green,8,0,76,76,76,2,atypical,d,
blue,yellow,13,0,77,77,77,2,atypical,f,
blue,red,1,0,78,78,78,2,atypical,f,
blue,yellow,13,0,79,79,79,2,atypical,f,
blue,yellow,13,0,0,0,0,3,typical,k,
green,blue,6,0,1,1,1,3,typical,f,
yellow,yellow,15,0,2,2,2,3,typical,k,
yellow,green,11,0,3,3,3,3,typical,j,
blue,yellow,13,0,4,4,4,3,typical,k,
red,red,0,0,5,5,5,3,typical,d,
red,blue,4,0,6,6,6,3,typical,f,
red,red,0,0,7,7,7,3,typical,d,
green,blue,6,0,8,8,8,3,typical,f,
yellow,blue,7,0,9,9,9,3,typical,f,
blue,red,1,0,10,10,10,3,typical,d,
green,blue,6,0,11,11,11,3,typical,f,
blue,green,9,0,12,12,12,3,typical,j,
yellow,red,3,0,13,13,13,3,typical,d,
green,red,2,0,14,14,14,3,typical,d,
red,green,8,0,15,15,15,3,typical,j,
red,blue,4,0,16,16,16,3,typical,f,
blue,green,9,0,17,17,17,3,typical,j,
red,yellow,12,0,18,18,18,3,typical,k,
green,yellow,14,0,19,19,19,3,typical,k,
green,green,10,0,20,20,20,3,typical,j,
blue,yellow,13,0,21,21,21,3,typical,k,
red,green,8,0,22,22,22,3,typical,j,
blue,yellow,13,0,23,23,23,3,typical,k,
red,red,0,0,24,24,24,3,typical,d,
green,yellow,14,0,25,25,25,3,typical,k,
green,blue,6,0,26,26,26,3,typical,f,
blue,green,9,0,27,27,27,3,typical,j,
blue,red,1,0,28,28,28,3,typical,d,
green,green,10,0,29,29,29,3,typical,j,
green,red,2,0,30,30,30,3,typical,d,
blue,blue,5,0,31,31,31,3,typical,f,
yellow,blue,7,0,32,32,32,3,typical,f,
green,green,10,0,33,33,33,3,typical,j,
red,red,0,0,34,34,34,3,typical,d,
blue,blue,5,0,35,35,35,3,typical,f,
yellow,red,3,0,36,36,36,3,typical,d,
blue,yellow,13,0,37,37,37,3,typical,k,
yellow,yellow,15,0,38,38,38,3,typical,k,
yellow,green,11,0,39,39,39,3,typical,j,
yellow,yellow,15,0,40,40,40,3,typical,k,
yellow,green,11,0,41,41,41,3,typical,j,
green,red,2,0,42,42,42,3,typical,d,
red,yellow,12,0,43,43,43,3,typical,k,
blue,blue,5,0,44,44,44,3,typical,f,
blue,red,1,0,45,45,45,3,typical,d,
red,blue,4,0,46,46,46,3,typical,f,
