	Product	Price
0	product0	price5
1	product1	price4
2	product2	price2
3	product3	price6
4	product4	price0
5	product5	price1
6	product6	price3
7	product7	price5
8	product0	price3
9	product1	price5
10	product2	price4
11	product3	price2
12	product4	price6
13	product5	price0
14	product6	price1
15	product7	price3
16	product0	price1
17	product1	price3
18	product2	price5
19	product3	price4
20	product4	price2
21	product5	price6
22	product6	price0
23	product7	price1
24	product0	price0
25	product1	price1
26	product2	price3
27	product3	price5
28	product4	price4
29	product5	price2
30	product6	price6
31	product7	price0
32	product0	price6
33	product1	price0
34	product2	price1
35	product3	price3
36	product4	price5
37	product5	price4
38	product6	price2
39	product7	price6
40	product0	price2
41	product1	price6
42	product2	price0
43	product3	price1
44	product4	price3
45	product5	price5
46	product6	price4
47	product7	price2
48	product0	price4
49	product1	price2
50	product2	price6
51	product3	price0
52	product4	price1
53	product5	price3
54	product6	price5
55	product7	price4
